,AdaptiveMA2008,CryptoBB2008,DividendPaydate2008,DynamicBreakout2008,FOMC2008,HedgeVIX2008,LumberGold2008,MultiVar2008,OptionSkewness2008,OvernightMomentum2008,SectorRotation2008,SimpleEMA2008,SPY2008,TScrossSecMom2008,VolatilityRiskPremium2008
165,110298.69,100000.0,100000.0,103446.63301,100000.0,100000.0,111339.695,102528.780419566,100000.0,81831.35320580544,100000.0,100000.0,87866.85662704,100403.02845214496,106134.72
166,109409.225,100000.0,100000.0,103690.22657,100000.0,100000.0,111476.205,102590.312351141,100000.0,81383.65243576969,100000.0,100000.0,88567.995673888,100161.30734291648,107860.22
167,107819.795,100000.0,100000.0,104026.15419,100000.0,100000.0,111339.695,102541.086805881,100000.0,81354.14407191666,100000.0,100000.0,89839.669435328,96774.74643725433,108454.47
168,109163.045,100000.0,100000.0,106107.22185,100000.0,100000.0,111153.545,102590.312351141,100000.0,80407.64856318399,100000.0,100000.0,88726.09565504,96683.63435333043,108029.97
169,109682.6,100000.0,100000.0,106500.751655,100000.0,100000.0,111389.335,102707.809358551,100000.0,80057.82118675979,100000.0,100000.0,88320.534833824,92148.08263931093,106903.22
170,109791.98,100000.0,100000.0,106898.899155,100000.0,100000.0,111711.995,102742.344543091,100000.0,79669.82466184678,100000.0,100000.0,88224.300062688,89797.45236145018,107003.72
171,113105.5,100000.0,100000.0,107249.20953,100000.0,100000.0,112270.445,102804.051023766,100000.0,79013.25757576579,100000.0,100000.0,85550.348207552,91537.25971849172,103082.47
172,112536.205,100000.0,100000.0,107764.127155,100000.0,100000.0,112022.245,102767.027135361,100000.0,81245.76497608778,100000.0,100000.0,85942.16120432,90849.6402761433,104460.72
173,110147.47,100000.0,100000.0,107225.736655,100000.0,100000.0,112059.475,102717.661950821,100000.0,80207.10321162078,100000.0,100000.0,87736.252294784,86056.9204743915,106521.97
174,113863.735,100000.0,100000.0,107655.08228,100000.0,100000.0,112493.825,102841.074912171,100000.0,79837.43909316178,100000.0,100000.0,84773.59612624,86524.72352628637,102494.22
175,113302.625,100000.0,100000.0,107870.20078,100000.0,100000.0,112245.625,102902.781392846,100000.0,78214.21016450578,100000.0,100000.0,85227.274333024,89398.99933498337,103506.72
176,111561.02,100000.0,100000.0,105427.23903,100000.0,100000.0,112109.115,102878.098800576,100000.0,76130.76489365779,100000.0,100000.0,86540.191567808,90331.5628100206,104966.47
177,111382.4,100000.0,100000.0,105652.45978,100000.0,100000.0,111513.435,102878.098800576,100000.0,73308.29217045578,100000.0,100000.0,86698.29154896,91873.65344113868,105216.22
178,116140.22,100000.0,100000.0,105859.85303,100000.0,100000.0,113573.495,103618.576568676,100000.0,69705.85760177778,100000.0,100000.0,83000.126772448,95404.25458056155,99209.72
179,114461.24,100000.0,100000.0,103612.99378,100000.0,100000.0,113312.885,103421.115830516,100000.0,66638.51780189679,100000.0,100000.0,84024.339693824,96266.13416371569,101634.97
180,119658.995,100000.0,100000.0,103930.620405,100000.0,100000.0,114280.865,103939.450268186,100000.0,66148.50928621877,100000.0,100000.0,80243.687970624,99218.87770859992,92701.47
181,115484.985,100000.0,100000.0,102923.66378,100000.0,100000.0,112977.815,103593.893976406,100000.0,71308.89741333677,100000.0,100000.0,83130.731104704,95988.93018417676,100675.72
182,110684.085,100000.0,100000.0,101580.955905,100000.0,100000.0,110817.315,103001.511761926,100000.0,72927.25911839878,100000.0,100000.0,86719.556152064,94341.43730736474,107792.22
