,ActiveCollar2007,AdaptiveMA2007,CryptoBB2007,DividendPaydate2007,DynamicBreakout2007,FOMC2007,HedgeVIX2007,LumberGold2007,MultiVar2007,OptionSkewness2007,OvernightMomentum2007,SectorRotation2007,SimpleEMA2007,SPY2007,TScrossSecMom2007,VolatilityRiskPremium2007
68,100000.0,102164.933239744,100000.0,100000.0,97943.0804,100000.0,100000.0,102548.056097452,100980.42101365,100000.0,91824.70537566002,100000.0,100000.0,102229.996104534,102754.39618473608,105731.165
69,100000.0,101383.580600384,100000.0,100000.0,97943.0804,100000.0,100000.0,103338.247174144,101030.769570922,100000.0,91954.06178429823,100000.0,100000.0,102874.086233216,101852.27841045594,105977.285
70,100000.0,101512.03035304,100000.0,100000.0,97943.0804,100000.0,100000.0,103911.772955614,100993.008152968,100000.0,92242.34198515968,100000.0,100000.0,103242.13773532,101736.82123439945,106077.925
71,100000.0,102563.927243056,100000.0,100000.0,98743.7383,100000.0,100000.0,105466.665074266,100980.42101365,100000.0,92044.54329195493,100000.0,100000.0,104317.980587624,100948.45863077849,106175.565
72,100000.0,102756.801123388,100000.0,100000.0,98699.5573,100000.0,100000.0,105135.29462275,101118.879546148,100000.0,91908.73202418143,100000.0,100000.0,104523.240079182,100914.71469857397,106195.345
73,100000.0,102803.012538652,100000.0,100000.0,98514.488,100000.0,100000.0,104447.063684986,101282.512357282,100000.0,92710.30471468795,100000.0,100000.0,104579.863387198,100759.27981718053,106183.905
74,100000.0,102709.545415756,100000.0,100000.0,98582.7231,100000.0,100000.0,103835.302851418,101282.512357282,100000.0,92182.46625446324,100000.0,100000.0,104494.928425174,100786.67871011667,106271.065
75,100000.0,103705.570890508,100000.0,100000.0,98471.2888,100000.0,100000.0,105097.059570652,101269.925217964,100000.0,91654.14432293006,100000.0,100000.0,105514.147969462,101080.43329852271,106331.145
76,100000.0,103451.473448728,100000.0,100000.0,98418.2716,100000.0,100000.0,104982.354414358,101332.860914554,100000.0,91060.95974294007,100000.0,100000.0,105266.420996892,101640.09360337077,106326.945
77,100000.0,103385.942033464,100000.0,100000.0,98528.7241,100000.0,100000.0,104816.6691886,101408.383750462,100000.0,90714.56902541098,100000.0,100000.0,105209.797688876,100688.54146068415,106326.945
78,100000.0,104367.9996544,100000.0,100000.0,97993.6431,100000.0,100000.0,105479.410091632,101383.209471826,100000.0,89733.17911494829,100000.0,100000.0,106214.86140616,100425.5732914118,106326.945
79,100000.0,104309.452166044,100000.0,100000.0,98268.0562,100000.0,100000.0,105734.310438952,101307.686635918,100000.0,89810.02890974577,100000.0,100000.0,106165.316011646,100620.3384302099,106326.945
80,100000.0,104306.776092952,100000.0,100000.0,98371.1452,100000.0,100000.0,105148.039640116,101345.448053872,100000.0,89461.84545434023,100000.0,100000.0,106172.393925148,100650.09354057422,106326.945
81,100000.0,103479.996644716,100000.0,100000.0,98404.5264,100000.0,100000.0,103198.051983118,101471.319447052,100000.0,89413.81963009496,100000.0,100000.0,105344.278045414,100862.65268948059,106326.945
82,100000.0,103610.225385802,100000.0,100000.0,97900.3721,100000.0,100000.0,103567.657486732,101403.101207716,100000.0,89060.76778708608,100000.0,100000.0,105613.23875849,100748.39326581698,106326.945
83,100000.0,102897.409378708,100000.0,100000.0,97821.8281,100000.0,100000.0,105058.824518554,101437.639390252,100000.0,88477.18319986935,100000.0,100000.0,106328.108022192,100320.67003241288,106326.945
84,100000.0,102870.56807515,100000.0,100000.0,98066.2963,100000.0,100000.0,105020.589466456,101349.215070814,100000.0,88482.64593868062,100000.0,100000.0,106781.09448632,100085.05832704487,106326.945
85,100000.0,103121.532156862,100000.0,100000.0,98079.79605,100000.0,100000.0,105696.075386854,101387.111207716,100000.0,88135.07781582708,100000.0,100000.0,107050.055199396,100581.98800215859,106326.945
86,100000.0,103324.519697206,100000.0,100000.0,97875.8271,100000.0,100000.0,105530.390161096,101412.375298984,100000.0,87874.10744160217,100000.0,100000.0,107269.470517958,100967.70474857104,106326.945
87,100000.0,103253.35557259,100000.0,100000.0,98116.3681,100000.0,100000.0,105364.704935338,101437.639390252,100000.0,87553.28565495534,100000.0,100000.0,107205.76929644,100815.70870436414,106326.945
88,100000.0,103600.272737038,100000.0,100000.0,97360.873,100000.0,100000.0,105912.740682076,101361.847116448,100000.0,87877.80318739111,100000.0,100000.0,107573.820798544,100766.14308989112,106326.945
89,100000.0,102185.765454118,100000.0,100000.0,97413.8902,100000.0,100000.0,103975.498042444,101450.271435886,100000.0,88733.58106941619,100000.0,100000.0,106122.848530634,101214.64173510943,106326.945
90,100000.0,101740.728199094,100000.0,100000.0,97413.8902,100000.0,100000.0,105313.724865874,101399.74325335,100000.0,88228.99368592918,100000.0,100000.0,107170.37972893,101334.05454921826,106992.345
91,100000.0,101488.800489194,100000.0,100000.0,97413.8902,100000.0,100000.0,104268.633441862,101361.847116448,100000.0,89114.43911249941,100000.0,100000.0,106986.353977878,101827.20049784429,106667.745
92,100000.0,101795.512337174,100000.0,100000.0,97413.8902,100000.0,100000.0,103363.737208876,101399.74325335,100000.0,88752.35050920481,100000.0,100000.0,106866.029448344,102294.97959187687,106634.545
93,100000.0,100959.202607354,100000.0,100000.0,97413.8902,100000.0,100000.0,104128.438250836,101462.90348152,100000.0,88644.85115137,100000.0,100000.0,107736.61280909,102369.09564951992,107420.345
94,100000.0,101144.428100078,100000.0,100000.0,97413.8902,100000.0,100000.0,103427.462295706,101387.111207716,100000.0,88458.72039811897,100000.0,100000.0,107616.288279556,102437.2468165811,107509.645
95,100000.0,101832.122545898,100000.0,100000.0,97413.8902,100000.0,100000.0,104447.063684986,101311.318933912,100000.0,88037.57744641183,100000.0,100000.0,108359.469197266,102286.96707269074,107992.645
96,100000.0,101968.954334546,100000.0,100000.0,97413.8902,100000.0,100000.0,105798.035525782,101374.479162082,100000.0,87306.44668661473,100000.0,100000.0,108515.18329431,102117.11254601038,108131.345
97,100000.0,101886.768440222,100000.0,100000.0,97413.8902,100000.0,100000.0,106575.481585108,101349.215070814,100000.0,86897.42633272162,100000.0,100000.0,108437.326245788,102835.61035417557,107930.745
98,100000.0,101731.576651574,100000.0,100000.0,97413.8902,100000.0,100000.0,106103.915942566,101336.58302518,100000.0,86787.29363140502,100000.0,100000.0,108281.612148744,102445.51605768359,108002.045
99,100000.0,100813.141422266,100000.0,100000.0,97413.8902,100000.0,100000.0,104561.76884128,101361.847116448,100000.0,86777.52367744168,100000.0,100000.0,107311.93799897,102275.006213812,107484.345
100,100000.0,100876.149815672,100000.0,100000.0,97413.8902,100000.0,100000.0,105441.175039534,101311.318933912,100000.0,86248.98338192167,100000.0,100000.0,107913.56064664,102608.14272381346,107615.345
